Key,Source,Context,Changes,English,French,German,Klingon,Spanish
shamSandwich,items,Food,KgNone,Old Sham Sandwich,Old Sham Sandwich,Altes Sham-Sandwich,,Sándwich de jamón viejo
shamSandwichDesc,items,Food,KgNone,薄く焼いたサクサク抹茶クッキーとホワイトチョコレートの黄金比コラボスイーツ。なわけはなく、カビに覆われたサンドウィッチです。,A really old sham sandwich made by Shamway. It will take away the hunger but there's a risk that comes with it.,"Ein wirklich altes Sham-Sandwich von Shamway. Es macht satt, kommt aber mit einigen Risiken.","Un sándwich de jamón Shamway muy viejo. Te saciará el hambre, pero tiene su riesgo.",
vegetableStew,items,Food,KgNone,Vegetable Stew,Vegetable Stew,Gemüseeintopf,,Guisado de verduras
vegetableStewDesc,items,Food,KgNone,野菜メインのシチュー(vegetable stew)。ウェイストランドに放り出されてもカーチャンの言いつけを守って野菜を取る君は親孝行者だ。\nありがとう。カーチャン。,Your mom always said eat your vegetables. Now's your chance to make her happy and guess what? They're good for you.,"Deine Mutter hat dir immer gesagt, dass du dein Gemüse essen sollst. Das ist die Gelegenheit, sie glücklich zu machen. Und weißt du was? Es ist gut für dich.","Tu mamá siempre te decía que te comieras las verduras. ¡Ahora es tu oportunidad de hacerla feliz! Además, ¿sabes qué? ¡Te hacen bien!",
blunderbuss,items,Gun,KgNone,Blunderbuss,Blunderbuss,Donnerbüchse,,Trabuco
crossbow,items,Gun,KgNone,Crossbow,Crossbow,Armbrust,,Ballesta
crossbowDesc,items,Gun,KgNone,クロスボウは木の弓より大きいダメージを対象に与えます。出血によるダメージも期待できます。,A crossbow does more damage than a wooden bow. Good for hunting and not making noise. Hold reload to use alternate ammo.,"Eine Armbrust verursacht mehr Schaden als ein Holzbogen. Eignet sich gut dazu, geräuschlos zu jagen. Nachladen gedrückt halten, um zwischen Munitionsarten zu wechseln.",Una ballesta inflige más daño que un arco de madera. Es buena para cazar y no hacer ruido. Mantén presionado recargar para usar munición alternativa.,
dynamite,items,Gun,EnChanged,Stick of Dynamite,Stick of Dynamite (Ammo),Dynamitstange (Mun),,Cartucho de dinamita
dynamiteDesc,items,Gun,KgNone,投げると数秒後に爆発します。右クリック長押しで着火し、放すとその方向に投げます。,A stick of dynamite can be lit with the secondary action & thrown with the primary action. The throwing part is very important.,Eine Dynamitstange kann mit der sekundären Aktion gezündet und mit der primären Aktion geworfen werden. Der Teil mit dem Werfen ist besonders wichtig.,,"Se puede prender un cartucho de dinamita con la acción secundaria, y lanzarlo con la acción primaria. Es muy importante lanzarlo."
flare,items,Gun,KgNone,Flare,Flare,Leuchtfackel,,Bengala
gun44Magnum,items,Gun,KgNone,.44 Magnum,.44 Magnum,.44 Magnum,,Magnum 44
gun44MagnumDesc,items,Gun,KgNone,最も強力で、最も大きい音を立ててしまうハンドガンの王様。\nゾンビのわめき声にもう怯える必要はありません。やれるもんならやってみな！,The .44 Magnum is the king of handguns. It's the most powerful but makes the most noise. Wield this bad boy and make Clint proud.,"Die .44 Magnum ist die Königin aller Handfeuerwaffen. Sie verursacht am meisten Schaden, ist aber auch am lautesten. Zieh dieses Baby und mach Clint stolz.","La Magnum 44 es la reina de las pistolas. Es la más poderosa, pero también la más ruidosa. Empuña esta preciosidad y haz que Clint se sienta orgulloso.",
gunAK47,items,Gun,KgNone,AK-47 Assault Rifle,AK-47 Assault Rifle,AK-47 Sturmgewehr,,Rifle de asalto AK-47
gunAK47Desc,items,Gun,KgNone,ワルでカッコイイこのアサルトライフルは組立てる価値があります。\n分解・組み立て・修理にはperk購入が必要です。,This badass AK-47 Assault Rifle uses 7.62mm ammo. Can be re-assembled and repaired if you read the schematic.,"Das krasse AK-47 Sturmgewehr verwendet 7,62 mm Munition. Kann zusammengesetzt und repariert werden, wenn du den Bauplan gelesen hast.",Este rudo rifle de asalto AK-47 usa munición de 7.62 mm. Se puede rearmar y reparar si lees el esquema.,
gunHuntingRifle,items,Gun,KgNone,Hunting Rifle,Hunting Rifle,Jagdgewehr,,Rifle de caza
gunHuntingRifleDesc,items,Gun,KgNone,農民が使っていた狩猟用のライフル。\n狩猟生活、最高！,"This common farmer's hunting rifle uses 7.62mm ammo. Can be assembled, repaired and augmented once you've read the schematic.","Dieses gewöhnliches Jagdgewehr eines Bauern verwendet 7,62 mm Munition. Kann zusammengesetzt, repariert und verbessert werden, wenn du den Bauplan gelesen hast.","Este rifle de caza normal de granjero utiliza munición de 7,62 mm. Una vez que has leído el esquema, lo puedes armar, reparar y mejorar.",
gunMP5,items,Gun,KgNone,SMG,SMG,Maschinenpistole,,Metralleta
gunPistol,items,Gun,KgNone,Pistol,Pistol,Pistole,,Revólver
gunPistolDesc,items,Gun,KgNone,標準的なピストル。\n分解・組み立て・修理にはピストル教則本を読む必要があります。,A basic pistol. Uses 9mm ammo. Can be re-assembled and repaired if you read the pistol book.,"Eine einfache Pistole. Verwendet 9 mm Munition. Kann zusammengesetzt und repariert werden, wenn du das Buch „Pistolen“ gelesen hast.",Un revólver básico. Utiliza munición de 9 mm. Se puede rearmar y reparar si has leído el libro de la pistola.,
gunPumpShotgun,items,Gun,KgNone,Shotgun,Shotgun,Schrotflinte,,Escopeta
gunPumpShotgunDesc,items,Gun,KgNone,ショットガン(shotgun)。射程は短いですが、エイム無しで撃っても、ゾンビに致命的なダメージを与えます。ショットガン分解・組み立て・修理には設計図を読む必要があります。,A long-barreled shotgun uses shells for ammo. Can be re-assembled and repaired if you read the Shotgun Schematic.,"Eine Schrotflinte mit langem Lauf verwendet Flintenmunition. Kann zusammengesetzt und repariert werden, wenn du den Bauplan für Schrotflinten gelesen hast.",Una escopeta de largo alcance utiliza cartuchos como munición. Se puede rearmar y reparar si has leído el esquema de escopeta.,
gunRocketLauncher,items,Gun,KgNone,Rocket Launcher,Rocket Launcher,Raketenwerfer,,Lanzacohetes
gunRocketLauncherDesc,items,Gun,KgNone,ロケットランチャー(rocket launcher)は対象に致命的なダメージを与えます。強化された壁であっても無事では済まないでしょう。,A Rocket Launcher shoots rocket propelled grenades. Can be re-assembled & repaired once you've read the Rocket Launcher Schematic.,"Ein Raketenwerfer feuert raketengetriebene Granaten ab. Kann zusammengesetzt und repariert werden, wenn du den Bauplan für Raketenwerfer gelesen hast.",Un lanzacohetes que lanza granadas propulsadas por cohete. Se puede rearmar y reparar una vez que has leído el esquema de lanzacohetes.,
gunSawedOffPumpShotgun,items,Gun,KgNone,Sawed-off Shotgun,Sawed-off Shotgun,Abgesägte Schrotflinte,,Escopeta recortada
gunSawedOffPumpShotgunDesc,items,Gun,KgNone,ソードオフショットガン(sawed off pump shotgun)は、通常のショットガンより射程が短いものの、ヒットすれば大ダメージを期待できます。\n自分で分解・組み立て・修理するには設計図を読む必要があります。,A sawed-off shotgun fires shotgun shells. Can be re-assembled and repaired once you've read the schematic.,"Eine abgesägte Schrotflinte feuert Flintenmunition ab. Kann zusammengesetzt und repariert werden, wenn du den Bauplan gelesen hast.",Una escopeta recortada dispara cartuchos de escopeta. Se puede rearmar y reparar una vez que has leído el esquema.,
gunSniperRifle,items,Gun,KgNone,Sniper Rifle,Sniper Rifle,Scharfschützengewehr,,Rifle de francotirador
gunSniperRifleDesc,items,Gun,KgNone,専用のスコープが取り付けられた狙撃銃(sniper rifle)。\n銃声はあるものの、聞こえない遠くからの精密射撃が可能です。,A sniper rifle uses 7.62mm ammo and has a scope for zooming. Can be re-assembled and repaired once you've read the schematic.,"Ein Scharfschützengewehr verwendet 7,62 mm Munition und hat ein Zielfernrohr, mit dem gezoomt werden kann. Kann zusammengesetzt und repariert werden, wenn du den Bauplan gelesen hast.","El rifle de francotirador utiliza munición de 7,62 mm y tiene una mira para enfocar. Se puede rearmar y reparar una vez que has leído el esquema.",
pipeBomb,items,Gun,EnChanged,Pipe Bomb,Pipe Bomb (Ammo),Rohrbombe (Mun),,Bomba casera
pipeBombDesc,items,Gun,KgNone,お手製手榴弾(pipe bomb)。右クリックで点火、左クリックで投げます。\n数秒後に爆発します。,"Make pipe bombs with gun powder, pipes & plant fibers. Light them with the secondary action & throw them with the primary action.","Fertige Rohrbomben mit Schießpulver, Rohren und Pflanzenfasern. Zünde sie mit der sekundären Aktion und wirf sie mit der primären Aktion.","Fabrica bombas caseras con pólvora, tuberías y fibra vegetal. Enciéndalas con la acción secundaria, y lánzalas con la acción primaria.",
woodenBow,items,Gun,KgNone,Wooden Bow,Wooden Bow,Holzbogen,,Arco de madera
airFilter,items,Item,KgNone,Car Air Filter,Car Air Filter,Luftfilter für Autos,,Filtro de aire para coche
airFilterDesc,items,Item,KgNone,古い自動車の空気清浄フィルター(Car Air Filter)。スクラップにするか、強力な地雷の材料になります。,An old car air filter. Scrap it or use it for a casing to make a makeshift landmine.,Ein alter Luftfilter für Autos. Zerlege ihn oder benutze ihn als Gehäuse für eine selbstgemacht Landmine.,,Un filtro de aire de un coche viejo. Deséchalo o úsalo como cubierta para improvisar una mina terrestre.
animalFat,items,Item,KgNone,Animal Fat,Animal Fat,Tierfett,,Grasa animal
animalFatDesc,items,Item,EnChanged,脂肪の塊(Animal Fat)は、キャンプファイアで精製油脂にして、ロウソクなどの材料になります。レシピ解放していれば火炎矢の材料になります。,Animal fat can be cooked down to tallow at a campfire. This is used for making candles and flaming arrows.,"Tierfett kann am Lagerfeuer zu Talg verarbeitet werden. Dieser kann verwendet werden, um Kerzen und Feuerpfeile herzustellen.",La grasa animal se puede cocinar en una fogata para conseguir sebo. Este se puede usar para hacer velas y flechas incendiarias.,
animalHide,items,Item,KgNone,Animal Hide,Animal Hide,Tierhaut,,Piel de animal
anvil,items,Item,KgNone,Anvil,Anvil,Amboss,,Yunque
anvilDesc,items,Item,KgNone,基本的な鍛冶炉(forge)のレシピを解放します。,A tool used in the forge to unlock recipes.,"Ein Werkzeug, mit dem in der Schmiede Rezepte freigeschaltet werden.",Una herramienta de la fragua para desbloquear recetas.,
ballisticFiber,items,Item,KgNone,Ballistic Fiber,Ballistic Fiber,Ballistische Faser,,Fibra balística
ballisticFiberDesc,items,Item,KgNone,ﾊﾞﾘｽﾃｨｯｸ繊維(Balistic Fiber)。軍用規格クリア品。\n軍の装備修理に必要です。,Pre-apocalypse synthetic fibers like Kevlar or Nomex.,Synthetische Fasern wie Kevlar oder Nomex aus der Zeit vor der Apokalypse.,,"Fibras sintéticas preapocalípticas, como Kevlar o Nomex."
beaker,items,Item,KgNone,Beaker,Beaker,Messbecher,,Matraz
beakerDesc,items,Item,KgNone,ビーカー(beaker)。キャンプファイアにセットすれば、抗生物質やその他重要なレシピが増えます。,A cooking utensil used in the campfire to unlock recipes.,"Ein Kochgerät, mit dem am Lagerfeuer Rezepte freigeschaltet werden.",Un instrumento de cocina que se usa en la fogata para desbloquear recetas.,
bellows,items,Item,KgNone,Bellows,Bellows,Blasebalg,,Fuelles
bioFuel,items,Item,KgNone,Biofuel,Biofuel,Biosprit,,Biocombustible
bioFuelDesc,items,Item,KgNone,バイオ燃料(bio fuel)。gas canの材料になります。,Biofuel is made at the campfire and can be used to make gasoline.,"Biosprit wird am Lagerfeuer gefertigt und kann benutzt werden, um Benzin herzustellen.",El biocombustible se produce en la fogata y se puede usar para hacer gasolina.,
book,items,Item,KgNone,Book,Book,Buch,,Libro
bookDesc,items,Item,KgNone,このウェイストランドで役に立つことは書かれていません。紙にするぐらいしか活用法が無い本(Book)です。,An old book will get you paper.,Durch ein altes Buch erhältst du Papier.,,Con un libro viejo puedes conseguir papel.
brokenGlass,items,Item,KgNone,Broken Glass,Broken Glass,Zerbrochenes Glas,,Cristal roto
brokenGlassDesc,items,Item,KgNone,割れたガラスの破片(broken glass)はこのウェイストランドでは役に立ちます。\n食べて天国に逝ける他、鍛冶炉(forge)で溶解して新しいガラスとして生まれ変わらせましょう。,Broken glass can be smelted into glass at the forge or used to end it all if the apocalypse is just too much for you.,"Zerbrochenes Glas kann in der Schmiede zu Glas zerschmolzen werden. Es kann benutzt werden, um alles zu beenden, wenn die Apokalypse nicht mehr zu ertragen ist.",El cristal roto se puede fundir para hacer cristal en la fragua. También se puede usar para terminar con tu vida si el apocalipsis es demasiado para ti...,
bucket,items,Item,KgNone,Bucket,Bucket,Eimer,,Cubeta
bucketDesc,items,Item,KgNone,空のバケツ(bucket)は水を汲み、運搬することが出来ます。水を撒けば再度空のバケツになります。,An empty bucket can be used to fill up and transport water.,"Ein leerer Eimer. Kann mit Wasser gefüllt werden, womit es transportiert werden kann.",Se puede usar una cubeta vacía para llenarla de agua y transportarla.,
bucketWater,items,Item,KgNone,Bucket of Water,Bucket of Water,Wassereimer,,Cubeta de agua
bucketWaterDesc,items,Item,KgNone,バケツ(bucket)は水で満たされています。地面に撒けば、水場を作り、空のバケツになります。,Water can be dumped into an enclosed structure or hole in the ground to store it.,"Wasser kann in ein geschlossenes Behältnis oder ein Loch im Boden geschüttet werden, um es aufzubewahren.",Se puede verter el agua en una estructura cerrada o en un agujero en la tierra para almacenarla.,
bulletCasing,items,Item,KgNone,Bullet Casing,Bullet Casing,Patronenhülse,,Cartucho de bala
bulletCasingDesc,items,Item,KgNone,空の薬莢(bullet casting)。弾薬の材料になります。自分で作成するにはいずれかの弾薬クラフトperkを購入し、forgeに金床(anvil)をセットする必要があります。,Bullet casings can be crafted at the forge after buying an ammo perk and are used to craft firearm ammunition.,"Nachdem eine Munitions-Fertigkeit erworben wurde, können Patronenhülsen in der Schmiede gefertigt werden. Mit ihnen kann dann Munition für Schusswaffen gefertigt werden.",Se pueden fabricar cartuchos de balas en la fragua tras comprar un beneficio de munición,
bulletTip,items,Item,KgNone,Bullet Tip,Bullet Tip,Geschossspitze,,Punta de bala
bulletTipDesc,items,Item,KgNone,弾頭(bullet Tip)。弾薬の材料になります。自分で作成するにはいずれかの弾薬クラフトperkを購入し、forgeの金床(anvil)を揃える必要があります。,Bullet tips can be crafted at the forge after buying an ammo perk and are used to craft firearm ammunition.,"Nachdem eine Munitions-Fertigkeit erworben wurde, können Geschossspitzen in der Schmiede gefertigt werden. Mit ihnen kann dann Munition für Schusswaffen gefertigt werden.",Se pueden fabricar puntas de balas en la fragua tras comprar un beneficio de munición,
calipers,items,Item,KgNone,Calipers,Calipers,Messschieber,,Calibrador
calipersDesc,items,Item,KgNone,ノギス(Calipers)。鍛冶炉(forge)にセットすれば、レシピを増やします。,A tool used in the forge to unlock recipes.,"Ein Werkzeug, mit dem in der Schmiede Rezepte freigeschaltet werden.",Una herramienta de la fragua para desbloquear recetas.,
candle,items,Item,KgNone,Candle,Candle,Kerze,,Vela
candleDesc,items,Item,New,ロウソク(candle)は精製油脂(tallow)と植物繊維(plant fiber)で作成出来ます。ふんわりした明るさで、室内照明などによく使われます。,A tallow candle can be carried as a light source or placed on walls. This might attract zombies.,Eine Talg-Kerze kann als Lichtquelle getragen oder an Wänden plaziert werden. Dies kann Zombies anziehen.,,Se puede llevar o colocar una vela hecha de sebo y fibra vegetal para usarla como fuente de luz.
candleStick,items,Item,KgNone,Brass Candlestick,Brass Candlestick,Kerzenhalter aus Messing,,Candelabro de latón
candleStickDesc,items,Item,KgNone,真鍮製(brass)のアイテムです。スクラップにして鍛冶炉(forge)で溶解しましょう。,Brass objects can be scrapped into scrap brass in your backpack or smelted in a forge as a core resource.,"Gegenstände aus Messing können in deinem Rucksack zerlegt werden, um Messingstücke zu erhalten. Sie können auch in der Schmiede eingeschmolzen werden, um den Rohstoff selbst zu erhalten.",Los objetos de latón se pueden despedazar para tener chatarra de latón en tu mochila o fundir en la fragua para obtener recursos básicos.,
candyTin,items,Item,KgNone,Candy Tin Can,Candy Tin Can,Bonbondose,,Lata de caramelos
candyTinDesc,items,Item,KgNone,おばあちゃんが孫のために作ったキャンディ・・・は捨てて、缶をスクラップ鉄にしたり、地雷の材料として使います。,Grandma's candy tin. Good for scrapping or a perfect casing for a yummy home cooked land mine!,"Großmutters Blechdose für Süßigkeiten. Kann zerlegt werden oder als Behälter für eine leckere, selbstgemachte Landmine dienen!",La lata de caramelos de la abuela. ¡Buena para despedazar y perfecta como cubierta para una sabrosa mina terrestre casera!!,
canEmpty,items,Item,KgNone,Empty Can,Empty Can,Leere Dose,,Lata vacía
canEmptyDesc,items,Item,KgNone,空き缶(empty can)はスクラップにしたり、水場で泥水を汲むことが出来ます。,An empty can which you can scrap or fill with water.,"Eine leere Dose, die zerlegt oder mit Wasser gefüllt werden kann.",Una lata vacía que puedes desechar o llenar de agua.,
carBattery,items,Item,KgNone,Lead Car Battery,Lead Car Battery,Bleibatterie für Autos,,Batería de coche de plomo
carBatteryDesc,items,Item,KgNone,車用鉛蓄電池(car battery)は、ミスポットライトの素材になる他、ミニバイクのパーツになります。スクラップにすれば多くの鉛が手に入ります。,"Car batteries can be used in vehicles, scrapped for lead in your backpack or smelted at the forge for lead.","Autobatterien können für Fahrzeuge benutzt, für Blei im Rucksack zerlegt oder in der Schmiede eingeschmolzen werden.","Las baterías de coche se pueden usar en vehículos, despedazar para tener plomo en tu mochila o fundir en la fragua para obtener plomo.",
casinoCoin,items,Item,KgNone,Duke's Casino Token,Duke's Casino Token,Jeton aus Dukes Kasino,,Ficha del casino de Duke
casinoCoinDesc,items,Item,KgNone,デュークカジノコイン。戦争後、Navezganeの主な通貨として流通しています。,A Duke's casino coin. After the epidemic and war it became the main currency for trading in Navezgane.,Ein Jeton aus Dukes Kasino. Nach der Seuche und dem Krieg wurden diese Jetons zur Hauptwährung in Navezgane.,,Una moneda del casino de Duke. Se convirtió en la moneda principal para comerciar en Navezgane tras la epidemia y la guerra.
cement,items,Item,KgNone,Cement,Cement,Zement,,Cemento
clayLump,items,Item,KgNone,Lump of Clay,Lump of Clay,Lehmklumpen,,Terrón de arcilla
clayLumpDesc,items,Item,KgNone,粘土の塊(clay lump)。粘土は製錬の鍵となる資源です。地図上の茶色のエリアや水場の底を掘ると手に入れられます。,"Clay a key resource for forging can be seen as brown spots on the map, found along bodies of water & dug from the earth. ",Lehm ist ein wichtiger Rohstoff beim Schmieden und wird mit braunen Punkten auf der Karte gekennzeichnet. Er wird entlang von Wasser und in der Erde gefunden.,,"La arcilla es un recurso clave para forjar y se encuentra en forma de manchas marrones en el mapa, junto a cuerpos de agua y excavaciones en el suelo. "
cloth,items,Item,KgNone,Cloth Fragment,Cloth Fragment,Stofffetzen,,Trozo de tela
clothDesc,items,Item,KgNone,布(cloth)は、衣服や包帯になります。綿花や布製品のスクラップで作成出来ます。,"Cloth is a staple for survival used for clothing, bandages and more.","Stoff ist einer der wichtigsten Rohstoffe für das Überleben. Daraus können Kleidungsstücke, Verbände und vieles mehr gefertigt werden.",La tela es esencial para la supervivencia. Se usa para la ropa y los vendajes entre otras cosas.,
coal,items,Item,KgNone,Lump of Coal,Lump of Coal,Kohlebrocken,,Trozo de carbón
coalDesc,items,Item,EnChanged,素晴らしい燃料になる他、gun powder(火薬)の材料になるだけでなく、torchの材料になります。,A great fuel source and a core ingredient for gunpowder.,Eine sehr gutes Brennmaterial und ist eine der wichtigsten Zutaten für die Fertigung von Schießpulver.,,"Una gran fuente de combustible. También se puede usar para fabricar antorchas, así como ingrediente principal para la pólvora."
cobblestones,items,Item,KgNone,Cobblestone Rocks,Cobblestone Rocks,Pflastersteine,,Adoquines
cobblestonesDesc,items,Item,EnChanged,玉石(cobblestone)の岩は玉石フレームに建築ツールで詰め込めば、驚くほど丈夫な玉石ブロックになります。,Cobblestone rocks can be used to build surprisingly sturdy flagstone and cobblestone structures.,Mit Pflastersteinen können erstaunlich stabile Steinplatten- und Pflastersteinstrukturen gebaut werden.,,Los adoquines se pueden usar para construir estructuras de adoquines sorprendentemente robustas.
concreteMix,items,Item,KgNone,Concrete Mix,Concrete Mix,Betonmischung,,Mezcla de hormigón
concreteMixDesc,items,Item,KgNone,コンクリートミックス(concrete MIX)鉄筋フレームを鉄筋コンクリートにする材料になります。クラフトするにはperkを購入する必要があります。,Can be used as a resource to make rebar frames into solid concrete walls once you've bought the concrete perk.,"Wenn du die Fertigkeit „Beton“ erworben hast, können damit aus Stahlgerüsten solide Betonwände gemacht werden.",Se puede usar como un recurso para convertir las estructuras en paredes de hormigón una vez que hayas comprado el beneficio de hormigón.,
cookingGrill,items,Item,KgNone,Cooking Grill,Cooking Grill,Kochgrill,,Parrilla
cookingGrillDesc,items,Item,KgNone,クッキンググリル網(Cooking grill)。キャンプファイアにセットすれば、レシピを増やせます。,A cooking utensil used in the campfire to unlock recipes.,"Ein Kochgerät, mit dem am Lagerfeuer Rezepte freigeschaltet werden.",Un instrumento de cocina que se usa en la fogata para desbloquear recetas.,
crushedSand,items,Item,KgNone,Crushed Sand,Crushed Sand,Bruchsand,,Arena fina
crushedSandDesc,items,Item,KgNone,砕砂(crushed sand)干しレンガブロックの材料の他、鍛冶炉(forge)で溶解すれば、ガラスになります。,Crushed sand is a core resource that can be smelted in the forge to make glass and used to craft items.,"Bruchsand ist ein wichtiger Rohstoff, der in der Schmiede geschmolzen werden kann, um Glas herzustellen. Er dient auch zur Fertigung von Gegenständen.",La arena fina es un recurso básico que se puede fundir para fabricar cristal y usar para fabricar objetos.,
doorKnob,items,Item,KgNone,Brass Doorknob,Brass Doorknob,Messingtürgriff,,Pomo de latón
doorKnobDesc,items,Item,KgNone,真鍮製(brass)のアイテムです。スクラップにして鍛冶炉(forge)で溶解しましょう。,Brass objects can be scrapped into scrap brass in your backpack or smelted in a forge as a core resource.,"Gegenstände aus Messing können in deinem Rucksack zerlegt werden, um Messingstücke zu erhalten. Sie können auch in der Schmiede eingeschmolzen werden, um den Rohstoff selbst zu erhalten.",Los objetos de latón se pueden despedazar para tener chatarra de latón en tu mochila o fundir en la fragua para obtener recursos básicos.,
ductTape,items,Item,KgNone,Duct Tape,Duct Tape,Klebeband,,Cinta de embalar
ductTapeDesc,items,Item,KgNone,ダクトテープ(duct Tape)は色々なものに役立ちます。マクダイバー本を読んでいれば、クールな防具の材料にもなります。,Duct tape is useful for making many things & according to Madmole MacDyver a must have resource for making the cooler stuff.,"Klebeband ist für viele Sachen nützlich und laut Madmole MacDyver ein Pflichtgegenstand für diejenigen, die coolere Sachen fertigen wollen.","La cinta de embalar es muy útil para muchas cosas y, según Madmole MacDyver, un recurso fundamental para fabricar las cosas más cool.",
emptyJar,items,Item,KgNone,Glass Jar,Glass Jar,Glaskrug,,Tarro de cristal
emptyJarDesc,items,Item,KgNone,空の瓶(empty jar)は、水場で右クリックをすると泥水が酌める他、ユッカジュースの材料になります。,An empty glass jar can be filled at water sources using the secondary action or used in other recipes.,"Ein leeres Glasgefäß, das an Wasserquellen gefüllt werden kann, indem die sekundäre Aktion benutzt wird. Wird auch in anderen Rezepten verwendet.",Un tarro de cristal vacío que se pueda llenar en fuentes de agua mediante la acción secundaria y usar en otras recetas.,
feather,items,Item,KgNone,Feather,Feather,Feder,,Pluma
featherDesc,items,Item,KgNone,鳥の羽根(feather)。ニワトリや鳥の巣で見つかります。\n各矢や各クロスボウボルトの材料になります。,Feathers are primarily found in bird nests & on chickens. They can be used to craft arrows and crossbow bolts.,Federn werden primär in Vogelnestern und bei Hühnern gefunden. Mit ihnen können Pfeile und Armbrustbolzen gefertigt werden.,,Las plumas se encuentran principalmente en nidos de aves y en los pollos. Se pueden usar para fabricar flechas y saetas para ballestas.
femur,items,Item,KgNone,Large Bone,Large Bone,Großer Knochen,,Hueso largo
femurDesc,items,Item,KgNone,大きく太い骨(femur)。骨ナイフ(Bone Shiv)にクラフトすると役立ちます。キャンプファイアで作れる接着剤の材料や、無いよりマシな近接武器として使えます。,A rather ordinary femur. It could be useful.,Ein recht gewöhnlicher Oberschenkelknochen. Er könnte sich als nützlich erweisen.,,Un fémur común y corriente. Podría ser útil.
fishingWeight,items,Item,KgNone,Lead Fishing Weight,Lead Fishing Weight,Angelblei,,Pesas de pesca de plomo
fishingWeightDesc,items,Item,KgNone,鉛製(lead)のアイテムです。スクラップにして鍛冶炉(forge)で溶解しましょう。,Lead objects can be scrapped into scrap lead in your backpack or smelted in a forge as a core resource.,"Gegenstände aus Blei können in deinem Rucksack zerlegt werden, um Bleistücke zu erhalten. Sie können auch in der Schmiede eingeschmolzen werden, um den Rohstoff selbst zu erhalten.",Los objetos de plomo se pueden despedazar para tener chatarra de plomo en tu mochila o fundir en la fragua para obtener recursos básicos.,
flashlight02,items,Item,KgNone,Flashlight,Flashlight,Taschenlampe,,Linterna
flashlight02Desc,items,Item,KgNone,手に持てば、夜道を明るく照らしてくれる懐中電灯。\n大抵の銃にも組み付けられます。,A flashlight can be used for a light source by toggling on your light source action. It can also be attached to most guns.,"Die Taschenlampe ist eine Lichtquelle, die mit der Lichtquellen-Aktion an- und ausgeschaltet werden kann. Sie kann auch an den meisten Waffen angebracht werden.",Usa la acción de fuente de luz para utilizar la linterna como fuente de luz. También se puede fijar a la mayoría de las pistolas.,
forgedIron,items,Item,KgNone,Forged Iron,Forged Iron,Geschmiedetes Eisen,,Hierro forjado
forgedIronDesc,items,Item,KgNone,製錬鉄(Forged iron)は、鉄のツールや、修繕やアップグレードに必要な素材です。,"Can be crafted at the forge and be used to craft, repair and upgrade a variety of things.","Kann in der Schmiede geschmiedet werden, um eine Reihe von Dingen zu fertigen, zu reparieren und aufzuwerten.","Se puede producir en la fragua y usar para fabricar, reparar y mejorar ciertos objetos.",
forgedSteel,items,Item,KgNone,Forged Steel,Forged Steel,Geschmiedeter Stahl,,Acero forjado
forgedSteelDesc,items,Item,KgNone,製錬鋼(Forged steel)強力なツールの素材です。クラフトするにはperkを購入する必要があります。,Can be crafted at the forge after buying the Steel perk and can be used to make some of the strongest items.,"Kann in der Schmiede gefertigt werden, nachdem die Fertigkeit „Stahl“ erworben wurde. Kann benutzt werden, um einige der stärksten Gegenstände zu fertigen.",Se puede producir en la fragua tras comprar el beneficio del metal y se puede usar para elaborar algunos de los objetos más resistentes.,
gasCan,items,Item,KgNone,Gas Can,Gas Can,Benzinkanister,,Bidón de gas
gasCanDesc,items,Item,KgNone,ガソリンが入っています(gas can)。チェーンソー等、燃料で動くツールの動力や、ミニバイクの燃料になります。,A can of gas. Can be used to fuel powered tools and vehicles. Crafted in lots of 100.,"Ein Benzinkanister. Kann benutzt werden, um Werkzeuge und Fahrzeuge anzutreiben, die mit Benzin laufen. Wird in 100er Einheiten gefertigt.",Un bidón de gas. Se puede usar para hacer funcionar herramientas que necesitan energía y vehículos. Se fabrica en lotes de 100.,
glue,items,Item,KgNone,Glue,Glue,Kleber,,Pegamento
glueDesc,items,Item,KgNone,接着剤(glue)。ダクトテープのクラフト素材です。,Glue is useful for making your own duct tape.,Mit Kleber kannst du dein eigenes Klebeband fertigen.,,El pegamento es útil para hacer tu propia cinta de embalar.
gunPowder,items,Item,KgNone,Gun Powder,Gun Powder,Schießpulver,,Pólvora
gunPowderDesc,items,Item,KgNone,火薬(gun powder)は、弾薬や爆弾のクラフト材料になります。,Gun powder made from coal and nitrate can be used to make your own ammo and explosives.,"Schießpulver aus Kohle und Kaliumnitrat kann benutzt werden, um eigene Munition und Sprengstoffe herzustellen.",Puedes usar la pólvora obtenida del carbón y nitrato para fabricar tu propia munición y explosivos.,
headlight,items,Item,KgNone,Headlight,Headlight,Scheinwerfer,,Faro
headlightDesc,items,Item,KgNone,ヘッドライト(head light)。乗り物、スポットライトのクラフト素材です。,A headlight is useful for creating a vehicle and lighting.,"Ein Scheinwerfer für Autos, der auch als Lichtquelle benutzt werden kann.",Un faro es útil para crear un vehículo y como iluminación.,
hubcap,items,Item,KgNone,Hub Cap,Hub Cap,Radkappe,,Tapacubos
